lam_obs_vac_nm,err_lam_obs_vac_nm,lam_ritz_vac_nm,err_lam_ritz_vac_nm,rel_intensity,einstein_aki,ion_name
  321.765880,  0.000110,  321.765875,  0.000003,6.000000e+00,0.000000e+00,Ar II     
  321.860230,  0.000140,  321.860273,  0.000021,5.000000e+00,0.000000e+00,Ar II     
  322.255500,  0.000600,  322.255525,  0.000003,7.000000e+00,1.800000e+06,Ar II     
  322.332820,  0.000100,  322.332837,  0.000021,8.000000e+00,0.000000e+00,Ar II     
  322.432000,  0.002000,  322.435000,  0.004000,1.000000e+00,0.000000e+00,Ar III    
  322.690400,  0.000600,  322.690558,  0.000003,6.000000e+00,2.100000e+06,Ar II     
  323.095300,  0.000600,  323.095515,  0.000004,4.000000e+00,0.000000e+00,Ar II     
  323.161300,  0.000600,  323.161549,  0.000004,2.000000e+00,0.000000e+00,Ar II     
  323.610900,  0.000600,  323.611356,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  323.774390,  0.000080,  323.774465,  0.000007,1.000000e+01,5.200000e+07,Ar II     
  324.264300,  0.000600,  324.264300,  0.000600,2.000000e+00,0.000000e+00,Ar II     
  324.462401,  0.000010,  324.462397,  0.000004,9.500000e+01,1.056000e+08,Ar II     
  324.841800,  0.000600,  324.841899,  0.000018,3.000000e+00,0.000000e+00,Ar II     
  325.073706,  0.000010,  325.073722,  0.000004,9.500000e+01,6.300000e+07,Ar II     
  325.272870,  0.000120,  325.273120,  0.000210,7.000000e+00,0.000000e+00,Ar III    
  325.485700,  0.000600,  325.485690,  0.000003,3.000000e+00,9.000000e+05,Ar II     
  325.983400,  0.000600,  325.983818,  0.000004,2.000000e+00,0.000000e+00,Ar II     
  326.059560,  0.000150,  326.059580,  0.000017,5.000000e+00,0.000000e+00,Ar II     
  326.302400,  0.000600,  326.302394,  0.000017,2.000000e+00,0.000000e+00,Ar II     
  326.451120,  0.000040,  326.451154,  0.000004,2.100000e+01,1.550000e+07,Ar II     
  326.482000,  0.002000,  326.488406,  0.000018,9.000000e+00,0.000000e+00,Ar III    
  326.992900,  0.000600,  326.993301,  0.000004,5.000000e+00,0.000000e+00,Ar II     
  327.141700,  0.000600,  327.142116,  0.000016,5.000000e+00,0.000000e+00,Ar II     
  327.425990,  0.000080,  327.426052,  0.000008,9.000000e+00,3.700000e+07,Ar II     
  327.658740,  0.000120,  327.658763,  0.000017,6.000000e+00,0.000000e+00,Ar II     
  327.702900,  0.000600,  327.703611,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  328.088690,  0.000300,  328.088632,  0.000004,2.000000e+00,0.000000e+00,Ar II     
  328.264680,  0.000020,  328.264648,  0.000005,4.300000e+01,4.200000e+07,Ar II     
  328.678790,  0.000020,  328.678790,  0.000030,3.300000e+01,2.000000e+08,Ar III    
  329.238850,  0.000060,  329.238831,  0.000022,1.000000e+01,0.000000e+00,Ar II     
  329.458879,  0.000010,  329.458868,  0.000008,1.620000e+02,1.700000e+08,Ar II     
  329.487310,  0.000040,  329.487319,  0.000004,2.100000e+01,0.000000e+00,Ar II     
  329.796900,  0.000600,  329.797804,  0.000017,2.000000e+00,0.000000e+00,Ar II     
  329.936800,  0.000600,  329.937100,  0.000400,2.000000e+00,0.000000e+00,Ar II     
  330.280528,  0.000010,  330.280530,  0.000030,2.240000e+02,2.000000e+08,Ar III    
  330.739700,  0.000600,  330.739223,  0.000021,5.000000e+00,0.000000e+00,Ar II     
  330.818035,  0.000010,  330.818030,  0.000008,1.260000e+02,3.400000e+08,Ar II     
  331.029230,  0.000190,  331.029298,  0.000010,4.000000e+00,0.000000e+00,Ar II     
  331.219540,  0.000030,  331.219530,  0.000040,1.800000e+01,2.000000e+08,Ar III    
  331.365000,  0.002000,  331.365550,  0.000016,5.000000e-01,0.000000e+00,Ar II     
  331.878000,  0.000600,  331.877791,  0.000010,3.000000e+00,0.000000e+00,Ar II     
  332.133000,  0.000600,  332.132807,  0.000020,2.000000e+00,0.000000e+00,Ar II     
  332.455000,  0.003000,  332.450700,  0.001300,9.000000e+00,0.000000e+00,Ar III    
  332.518400,  0.000600,  332.518500,  0.000600,2.000000e+00,0.000000e+00,Ar II     
  332.830000,  0.003000,  332.826000,  0.001300,4.000000e+00,0.000000e+00,Ar III    
  333.210000,  0.002000,  333.216910,  0.000060,2.000000e+00,0.000000e+00,Ar III    
  333.713402,  0.000010,  333.713405,  0.000017,7.080000e+02,2.000000e+08,Ar III    
  333.978260,  0.000070,  333.978327,  0.000003,7.000000e+00,0.000000e+00,Ar II     
  334.246800,  0.000600,  334.246308,  0.000010,3.000000e+00,0.000000e+00,Ar II     
  334.270700,  0.000600,  334.270126,  0.000003,6.000000e+00,0.000000e+00,Ar II     
  334.349830,  0.000210,  334.349900,  0.000120,5.000000e+00,0.000000e+00,Ar III    
  334.571831,  0.000010,  334.571834,  0.000016,5.750000e+02,1.800000e+08,Ar III    
  334.865600,  0.000600,  334.865873,  0.000003,1.000000e+00,0.000000e+00,Ar II     
  335.188698,  0.000010,  335.188704,  0.000004,1.290000e+02,1.500000e+08,Ar II     
  335.307000,  0.005000,  335.308142,  0.000016,4.000000e+00,2.200000e+07,Ar III    
  335.949562,  0.000010,  335.949558,  0.000020,4.170000e+02,1.600000e+08,Ar III    
  336.225000,  0.005000,  336.227172,  0.000018,7.000000e+00,3.000000e+07,Ar III    
  336.271060,  0.000060,  336.271068,  0.000003,1.000000e+01,3.900000e+06,Ar II     
  336.426600,  0.000600,  336.426509,  0.000018,2.000000e+00,0.000000e+00,Ar II     
  336.532900,  0.000600,  336.533191,  0.000017,2.000000e+00,0.000000e+00,Ar II     
  336.648730,  0.000060,  336.648718,  0.000005,1.300000e+01,1.300000e+07,Ar II     
  336.754720,  0.000030,  336.754714,  0.000008,2.200000e+01,4.100000e+07,Ar II     
  337.188300,  0.000070,  337.188298,  0.000005,1.200000e+01,5.900000e+06,Ar II     
  337.195330,  0.000180,  337.195267,  0.000014,4.000000e+00,0.000000e+00,Ar II     
  337.481100,  0.000600,  337.481320,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  337.740539,  0.000010,  337.740547,  0.000003,1.550000e+02,1.500000e+08,Ar II     
  337.941200,  0.000600,  337.941487,  0.000017,1.000000e+00,0.000000e+00,Ar II     
  338.042800,  0.000600,  338.043062,  0.000005,4.000000e+00,2.000000e+06,Ar II     
